Diabetic Retinopathy Stage,Diet Preference,Meal type,Recommended Food,Carbohydrate(g),Vitamins,Proteins(g),Minerals,Calories(kcal),Preferred Exercise,Avoid,Age Group,Region,BMI,Health Routine,Day of Week
Proliferative Retinopathy,Non Vegetarian,Dinner,"Egg Paratha, Kadhi with Rice, Keema Pulao, Multigrain Sandwich, Rajma Pulao, Roasted Foxnuts",38,10,21,11,299,Swimming,Processed Foods,60+,West,25.4,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
Mild Retinopathy,Vegan,Dinner,"Amaranth Dal, Cucumber Raita, Fish Korma, Kadhi Pakora, Pumpkin Soup, Vegetable Handvo",46,9,18,6,498,Strength Training,Deep Fried Items,36-45,East,19.9,"Include high-fiber foods like oats, vegetables, and legumes.",Sunday
Proliferative Retinopathy,Vegan,Snacks,"Kadhi with Rice, Masala Egg Toast, Moong Dal Chilla, Poha, Ragi Dosa, Tofu Stir Fry",40,8,12,8,298,Cycling,Deep Fried Items,36-45,West,27.7,Avoid skipping meals and maintain consistent meal timings.,Monday
Severe Retinopathy,Non Vegetarian,Breakfast,"Aloo Paratha, Bisi Bele Bath, Cucumber Raita, Gatte ki Sabzi, Palak Kofta, Roasted Foxnuts",35,6,20,15,511,Brisk Walking,Processed Foods,26-35,East,19.5,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
Mild Retinopathy,Vegan,Breakfast,"Bajra Roti, Chicken Stew, Chole with Bhatura, Egg Paratha, Jeera Rice, Paneer Cutlet",34,13,20,11,254,Strength Training,Deep Fried Items,36-45,West,26.2,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Mild Retinopathy,Non Vegetarian,Breakfast,"Bajra Roti, Chicken Stew, Grilled Salmon, Masala Makhanas, Millet Porridge, Paneer Cutlet",34,13,8,10,452,Swimming,Soft Drinks,36-45,West,27.2,Get enough sleep to support overall health.,Saturday
Severe Retinopathy,Vegan,Breakfast,"Bisi Bele Bath, Chia Pudding, Green Gram Curry, Handvo, Jeera Rice, Paneer Cutlet",39,13,9,10,329,Stretching,Excess Salt,26-35,West,18.7,Practice mindfulness and stress-reducing activities.,Friday
No retinopathy,Non Vegetarian,Breakfast,"Bajra Roti, Egg Paratha, Kadhi Pakora, Oats Chilla, Stuffed Capsicum, Tandoori Chicken",32,8,16,14,470,Cycling,Soft Drinks,46-60,South,22.1,"Eat small, frequent meals to maintain blood sugar levels.",Sunday
No retinopathy,Non Vegetarian,Dinner,"Avocado Toast, Lauki Curry, Moong Dal Chilla, Paneer Bhurji, Pumpkin Dal, Spinach Khichdi",49,11,16,8,385,Swimming,Deep Fried Items,60+,South,22,Keep a food diary to monitor your eating habits.,Thursday
Severe Retinopathy,Non Vegetarian,Dinner,"Baingan Bharta, Poha, Quinoa Salad, Ragi Dosa, Spinach Rice, Vegetable Daliya",46,11,22,12,460,Cycling,Refined Flour,36-45,Central,20.2,"Eat small, frequent meals to maintain blood sugar levels.",Monday
Mild Retinopathy,Non Vegetarian,Lunch,"Grilled Salmon, Jeera Rice, Methi Thepla, Ragi Dosa, Roasted Foxnuts, Vegan Pancakes",33,8,8,15,285,Cycling,Soft Drinks,26-35,South,21.5,Avoid skipping meals and maintain consistent meal timings.,Saturday
Moderate Retinopathy,Non Vegetarian,Snacks,"Almond Milk Smoothie, Daliya Upma, Dhokla, Egg Bhurji, Jeera Rice, Multigrain Sandwich",50,10,20,9,367,Strength Training,Excess Salt,18-25,South,27.1,Keep a food diary to monitor your eating habits.,Thursday
Proliferative Retinopathy,Vegan,Lunch,"Barley Risotto, Chia Pudding, Masala Idli, Masoor Dal, Vegetable Daliya, Vegetable Handvo",53,6,21,10,495,Cycling,Deep Fried Items,46-60,West,22.6,Limit your intake of caffeine and alcohol.,Tuesday
No retinopathy,Vegetarian,Dinner,"Green Gram Curry, Masala Makhanas, Masala Papad, Methi Thepla, Rajma Pulao, Roasted Foxnuts",40,14,13,5,381,Brisk Walking,Processed Foods,18-25,South,28.1,Keep a food diary to monitor your eating habits.,Friday
Severe Retinopathy,Vegan,Dinner,"Baingan Bharta, Chia Pudding, Chicken Stew, Handvo, Pumpkin Soup, Tandoori Chicken",38,9,8,7,416,Cycling,Soft Drinks,60+,West,19.2,Stay hydrated and drink at least 8 glasses of water daily.,Tuesday
Moderate Retinopathy,Vegan,Snacks,"Aloo Paratha, Masala Egg Toast, Masala Idli, Methi Thepla, Rajma Curry, Vegetable Daliya",40,6,13,12,438,Yoga,Soft Drinks,36-45,East,27.9,Limit your intake of caffeine and alcohol.,Sunday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Chickpea Curry, Fish Korma, Masala Egg Toast, Masoor Dal, Mutton Seekh, Oats Idli",43,6,14,11,322,Stretching,Refined Flour,36-45,East,20.3,Exercise regularly to maintain healthy weight and sugar levels.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Barnyard Millet Pongal, Chicken Stew, Chole with Bhatura, Moong Dal Chilla, Rajma Curry, Vegetable Daliya",40,6,15,8,371,Swimming,Soft Drinks,26-35,South,28.4,"Eat small, frequent meals to maintain blood sugar levels.",Thursday
Mild Retinopathy,Non Vegetarian,Breakfast,"Bajra Roti, Fish Korma, Methi Thepla, Mutton Seekh, Palak Paneer, Tofu Stir Fry",38,14,21,14,417,Swimming,Soft Drinks,36-45,South,28.4,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
No retinopathy,Vegetarian,Snacks,"Cabbage Stir Fry, Dhokla, Masala Egg Toast, Masala Makhanas, Palak Kofta, Rajma Pulao",49,10,22,15,365,Cycling,Excess Salt,36-45,South,27.1,"Eat small, frequent meals to maintain blood sugar levels.",Saturday
Severe Retinopathy,Vegan,Breakfast,"Avocado Toast, Chole with Bhatura, Mutton Biryani, Quinoa Salad, Rajma Pulao, Turkey Kebab",51,9,12,5,250,Strength Training,Refined Flour,46-60,Central,20.7,Avoid skipping meals and maintain consistent meal timings.,Thursday
Moderate Retinopathy,Vegan,Breakfast,"Almond Milk Smoothie, Chole with Bhatura, Grilled Salmon, Millet Porridge, Spinach Rice, Vegetable Handvo",54,8,17,12,475,Brisk Walking,Deep Fried Items,46-60,West,22.3,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
No retinopathy,Vegetarian,Snacks,"Bajra Roti, Boiled Egg Salad, Lauki Curry, Rajma Pulao, Roasted Foxnuts, Tomato Shorba",38,11,12,14,336,Strength Training,Refined Flour,60+,North,29.9,Keep a food diary to monitor your eating habits.,Sunday
Moderate Retinopathy,Vegan,Snacks,"Aloo Paratha, Bisi Bele Bath, Cabbage Stir Fry, Masala Papad, Pumpkin Soup, Rava Idli",49,13,18,8,410,Cycling,Soft Drinks,18-25,North,27.4,Get enough sleep to support overall health.,Saturday
Proliferative Retinopathy,Vegan,Breakfast,"Coconut Chutney, Cucumber Raita, Dhokla, Sprouted Chana Salad, Vegan Dum Biryani, Vegetable Handvo",48,12,17,8,380,Yoga,Deep Fried Items,26-35,East,25,Limit your intake of caffeine and alcohol.,Sunday
Proliferative Retinopathy,Vegetarian,Dinner,"Chia Pudding, Handvo, Kadhi with Rice, Keema Pulao, Palak Paneer, Rava Idli",42,11,10,11,406,Swimming,Refined Flour,18-25,West,24.3,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Friday
Severe Retinopathy,Non Vegetarian,Dinner,"Egg Bhurji, Masala Makhanas, Masala Papad, Moong Dal Chilla, Spinach Rice, Sweet Corn Salad",31,12,10,8,422,Stretching,Deep Fried Items,36-45,East,25.7,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
No retinopathy,Vegetarian,Dinner,"Aloo Paratha, Amaranth Dal, Lauki Kofta, Rava Idli, Sweet Corn Salad, Tomato Shorba",51,9,17,8,427,Cycling,Excess Salt,26-35,East,21.7,Avoid skipping meals and maintain consistent meal timings.,Sunday
Proliferative Retinopathy,Vegetarian,Lunch,"Chicken Stew, Chickpea Curry, Green Gram Curry, Multigrain Sandwich, Spinach Khichdi, Sweet Corn Salad",52,9,15,5,458,Brisk Walking,Refined Flour,60+,East,20.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Thursday
Proliferative Retinopathy,Vegetarian,Snacks,"Almond Milk Smoothie, Amaranth Dal, Coconut Chutney, Roasted Foxnuts, Spinach Rice, Stuffed Capsicum",32,13,22,13,304,Cycling,Soft Drinks,36-45,South,19.3,Avoid skipping meals and maintain consistent meal timings.,Friday
No retinopathy,Non Vegetarian,Dinner,"Almond Milk Smoothie, Chicken Sandwich, Egg Paratha, Sprouted Chana Salad, Stuffed Tinda, Sweet Potato Hash",49,10,20,6,281,Brisk Walking,Deep Fried Items,60+,West,25,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Moderate Retinopathy,Vegetarian,Lunch,"Bisi Bele Bath, Dhokla, Handvo, Stuffed Tinda, Tandoori Chicken, Turkey Kebab",41,7,16,10,261,Brisk Walking,Refined Flour,60+,Central,18.6,Avoid skipping meals and maintain consistent meal timings.,Tuesday
No retinopathy,Vegetarian,Snacks,"Chicken Sandwich, Lauki Curry, Masala Egg Toast, Methi Paratha, Spinach Rice, Vegan Dum Biryani",41,11,22,10,457,Stretching,Sugary Foods,46-60,North,28.7,"Include high-fiber foods like oats, vegetables, and legumes.",Monday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Baingan Bharta, Bajra Roti, Bisi Bele Bath, Dhokla, Palak Kofta, Tomato Shorba",38,6,22,5,409,Stretching,Excess Salt,60+,East,26.4,"Eat small, frequent meals to maintain blood sugar levels.",Tuesday
Proliferative Retinopathy,Vegetarian,Snacks,"Chole with Bhatura, Kadhi with Rice, Methi Paratha, Ragi Dosa, Vegan Dum Biryani, Vegetable Daliya",48,11,19,7,489,Cycling,Excess Salt,46-60,East,20.5,Get enough sleep to support overall health.,Saturday
No retinopathy,Vegan,Breakfast,"Chicken Stew, Chickpea Curry, Egg Bhurji, Egg Muffins, Lauki Kofta, Tomato Shorba",52,13,20,14,302,Cycling,Refined Flour,46-60,North,22.5,"Eat small, frequent meals to maintain blood sugar levels.",Wednesday
Moderate Retinopathy,Vegetarian,Lunch,"Daliya Upma, Egg Bhurji, Fish Curry, Paneer Bhurji, Paneer Cutlet, Vegetable Upma",41,14,19,10,453,Brisk Walking,Deep Fried Items,60+,East,21.7,Exercise regularly to maintain healthy weight and sugar levels.,Saturday
Moderate Retinopathy,Vegan,Breakfast,"Daliya Upma, Egg Bhurji, Grilled Salmon, Pumpkin Dal, Rajma Pulao, Vegetable Handvo",38,7,12,6,365,Yoga,Soft Drinks,46-60,Central,26.3,Limit your intake of caffeine and alcohol.,Monday
Mild Retinopathy,Vegetarian,Breakfast,"Chicken Stew, Grilled Salmon, Kadhi Pakora, Masala Makhanas, Pumpkin Soup, Tandoori Chicken",38,7,16,7,443,Cycling,Soft Drinks,60+,South,22.1,Limit your intake of caffeine and alcohol.,Tuesday
Moderate Retinopathy,Vegan,Lunch,"Chia Pudding, Chole with Bhatura, Methi Paratha, Pumpkin Soup, Rava Idli, Spinach Rice",44,6,21,13,253,Yoga,Sugary Foods,60+,West,25.7,Get enough sleep to support overall health.,Sunday
Proliferative Retinopathy,Vegan,Breakfast,"Baingan Bharta, Barley Risotto, Keema Pulao, Masala Papad, Moong Dal Chilla, Paneer Cutlet",47,10,13,10,493,Swimming,Sugary Foods,36-45,South,21.8,"Eat small, frequent meals to maintain blood sugar levels.",Monday
No retinopathy,Vegetarian,Dinner,"Gatte ki Sabzi, Methi Thepla, Mutton Biryani, Spinach Rice, Tomato Shorba, Vegetable Daliya",36,12,11,9,363,Swimming,Deep Fried Items,46-60,South,28.8,Limit your intake of caffeine and alcohol.,Tuesday
Proliferative Retinopathy,Vegan,Breakfast,"Barnyard Millet Pongal, Chickpea Curry, Coconut Chutney, Multigrain Sandwich, Sweet Corn Salad, Vegan Dum Biryani",38,13,20,9,338,Brisk Walking,Sugary Foods,60+,South,27.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Sunday
Severe Retinopathy,Non Vegetarian,Snacks,"Chole with Bhatura, Daliya Upma, Egg Paratha, Methi Paratha, Ragi Dosa, Rava Idli",40,8,17,9,485,Brisk Walking,Soft Drinks,18-25,Central,25.6,Limit your intake of caffeine and alcohol.,Thursday
Severe Retinopathy,Non Vegetarian,Dinner,"Baingan Bharta, Dhokla, Green Gram Curry, Pumpkin Dal, Pumpkin Soup, Quinoa Salad",40,9,21,8,388,Strength Training,Processed Foods,36-45,North,21.7,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
Moderate Retinopathy,Vegan,Dinner,"Bajra Roti, Bisi Bele Bath, Green Gram Curry, Masala Idli, Masala Makhanas, Mutton Biryani",31,12,13,8,405,Yoga,Refined Flour,18-25,North,24.9,Avoid skipping meals and maintain consistent meal timings.,Sunday
Severe Retinopathy,Vegetarian,Snacks,"Barley Risotto, Gatte ki Sabzi, Masala Egg Toast, Methi Paratha, Sprouted Chana Salad, Stuffed Tinda",48,6,11,15,415,Yoga,Sugary Foods,26-35,South,20.9,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Severe Retinopathy,Vegetarian,Lunch,"Aloo Paratha, Lauki Curry, Masala Egg Toast, Masoor Dal, Pumpkin Soup, Sprouted Chana Salad",49,10,20,7,463,Brisk Walking,Refined Flour,26-35,Central,22.2,Limit your intake of caffeine and alcohol.,Friday
Mild Retinopathy,Vegetarian,Dinner,"Aloo Paratha, Egg Muffins, Handvo, Lauki Kofta, Masala Idli, Vegetable Handvo",52,10,13,10,258,Cycling,Excess Salt,18-25,North,26.1,Stay hydrated and drink at least 8 glasses of water daily.,Thursday
Mild Retinopathy,Vegetarian,Breakfast,"Barnyard Millet Pongal, Chickpea Curry, Fish Curry, Jeera Rice, Quinoa Salad, Tofu Bhurji",41,13,9,14,296,Yoga,Deep Fried Items,36-45,East,27.8,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Severe Retinopathy,Vegetarian,Dinner,"Almond Milk Smoothie, Bisi Bele Bath, Egg Bhurji, Fish Curry, Oats Idli, Sweet Potato Hash",53,11,19,15,457,Brisk Walking,Processed Foods,18-25,West,29.7,"Include high-fiber foods like oats, vegetables, and legumes.",Thursday
No retinopathy,Vegan,Lunch,"Chickpea Curry, Masala Papad, Methi Paratha, Poha, Pumpkin Dal, Vegetable Handvo",52,10,16,5,413,Yoga,Sugary Foods,60+,Central,23.3,Stay hydrated and drink at least 8 glasses of water daily.,Monday
Severe Retinopathy,Non Vegetarian,Dinner,"Almond Milk Smoothie, Chicken Sandwich, Lauki Curry, Masoor Dal, Mutton Biryani, Oats Idli",50,7,10,6,444,Swimming,Refined Flour,36-45,North,27.3,"Include high-fiber foods like oats, vegetables, and legumes.",Saturday
Mild Retinopathy,Vegan,Breakfast,"Barnyard Millet Pongal, Green Gram Curry, Masala Egg Toast, Palak Paneer, Paneer Bhurji, Tomato Shorba",32,12,18,15,410,Cycling,Processed Foods,46-60,North,23.9,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
No retinopathy,Vegan,Lunch,"Chicken Sandwich, Chole with Bhatura, Lauki Curry, Masala Papad, Sprouted Chana Salad, Sweet Corn Salad",45,9,18,14,469,Strength Training,Deep Fried Items,60+,North,24,Practice mindfulness and stress-reducing activities.,Thursday
Mild Retinopathy,Vegan,Dinner,"Daliya Upma, Lauki Kofta, Masala Idli, Masala Makhanas, Vegan Dum Biryani, Vegetable Daliya",34,13,21,8,351,Stretching,Excess Salt,26-35,South,24.2,Limit your intake of caffeine and alcohol.,Friday
No retinopathy,Vegetarian,Dinner,"Chicken Sandwich, Chole with Bhatura, Egg Muffins, Multigrain Sandwich, Sweet Potato Hash, Tofu Bhurji",44,14,11,12,452,Stretching,Soft Drinks,18-25,East,18.7,Limit your intake of caffeine and alcohol.,Thursday
Severe Retinopathy,Non Vegetarian,Dinner,"Bajra Roti, Barley Risotto, Mutton Biryani, Quinoa Salad, Rajma Pulao, Roasted Foxnuts",42,13,19,6,390,Brisk Walking,Excess Salt,60+,North,20.3,Avoid skipping meals and maintain consistent meal timings.,Thursday
Proliferative Retinopathy,Vegan,Breakfast,"Chicken Stew, Chole with Bhatura, Egg Paratha, Mutton Seekh, Roasted Foxnuts, Vegetable Handvo",31,14,8,13,391,Strength Training,Excess Salt,46-60,West,18.8,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Wednesday
Moderate Retinopathy,Vegan,Dinner,"Masala Makhanas, Masoor Dal, Methi Paratha, Palak Paneer, Ragi Dosa, Spinach Rice",30,14,8,5,382,Brisk Walking,Processed Foods,18-25,Central,26,Limit your intake of caffeine and alcohol.,Sunday
Proliferative Retinopathy,Vegan,Snacks,"Barnyard Millet Pongal, Cabbage Stir Fry, Palak Paneer, Sweet Potato Hash, Tofu Bhurji, Tofu Stir Fry",38,6,12,6,462,Stretching,Sugary Foods,36-45,North,19.6,"Eat small, frequent meals to maintain blood sugar levels.",Tuesday
No retinopathy,Vegetarian,Breakfast,"Chicken Stew, Masala Idli, Millet Porridge, Oats Chilla, Poha, Vegan Pancakes",39,6,20,5,497,Swimming,Refined Flour,36-45,Central,18.3,"Include high-fiber foods like oats, vegetables, and legumes.",Thursday
Moderate Retinopathy,Non Vegetarian,Breakfast,"Boiled Egg Salad, Chana Sundal, Masala Egg Toast, Masoor Dal, Tomato Shorba, Vegan Dum Biryani",42,6,15,5,255,Stretching,Soft Drinks,60+,Central,27.3,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Chia Pudding, Palak Kofta, Spinach Khichdi, Sweet Potato Hash, Tandoori Chicken, Vegan Dum Biryani",48,13,22,10,424,Brisk Walking,Refined Flour,26-35,West,18.8,Avoid skipping meals and maintain consistent meal timings.,Monday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Avocado Toast, Lauki Kofta, Masala Papad, Methi Paratha, Palak Paneer, Tofu Bhurji",37,6,18,8,280,Yoga,Excess Salt,46-60,North,27.5,Get enough sleep to support overall health.,Monday
Mild Retinopathy,Non Vegetarian,Dinner,"Chana Sundal, Jeera Rice, Keema Pulao, Millet Porridge, Quinoa Salad, Spinach Khichdi",35,11,11,6,379,Cycling,Deep Fried Items,26-35,East,29.1,Avoid skipping meals and maintain consistent meal timings.,Friday
Proliferative Retinopathy,Vegan,Dinner,"Almond Milk Smoothie, Masala Makhanas, Methi Thepla, Mutton Seekh, Tandoori Chicken, Tomato Shorba",36,6,19,5,259,Cycling,Processed Foods,18-25,South,18.5,Exercise regularly to maintain healthy weight and sugar levels.,Monday
No retinopathy,Vegan,Lunch,"Aloo Paratha, Avocado Toast, Keema Pulao, Quinoa Salad, Tomato Shorba, Vegetable Handvo",44,11,21,13,294,Strength Training,Excess Salt,26-35,South,28,Get enough sleep to support overall health.,Saturday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Avocado Toast, Chickpea Curry, Coconut Chutney, Masala Papad, Tofu Bhurji, Tofu Stir Fry",37,11,20,10,283,Swimming,Excess Salt,60+,North,21,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Monday
Proliferative Retinopathy,Vegan,Breakfast,"Aloo Paratha, Avocado Toast, Barley Risotto, Bisi Bele Bath, Chicken Stew, Grilled Salmon",50,13,22,6,301,Strength Training,Deep Fried Items,46-60,North,23.1,"Include a mix of carbohydrates, proteins, and healthy fats in your meals.",Tuesday
No retinopathy,Vegetarian,Dinner,"Barnyard Millet Pongal, Gatte ki Sabzi, Mutton Biryani, Palak Paneer, Tofu Bhurji, Vegetable Daliya",54,6,14,7,315,Swimming,Excess Salt,36-45,Central,28.3,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
No retinopathy,Vegetarian,Dinner,"Aloo Paratha, Chole with Bhatura, Gatte ki Sabzi, Lauki Curry, Tomato Shorba, Turkey Kebab",36,6,19,6,347,Yoga,Deep Fried Items,46-60,East,20.3,Practice mindfulness and stress-reducing activities.,Sunday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Chana Sundal, Fish Curry, Methi Thepla, Moong Dal Chilla, Pumpkin Dal, Vegan Dum Biryani",46,14,22,6,516,Stretching,Excess Salt,46-60,West,22,Keep a food diary to monitor your eating habits.,Sunday
No retinopathy,Vegan,Breakfast,"Aloo Paratha, Gatte ki Sabzi, Mutton Seekh, Spinach Khichdi, Tomato Shorba, Turkey Kebab",54,7,14,11,350,Brisk Walking,Deep Fried Items,18-25,West,21,Stay hydrated and drink at least 8 glasses of water daily.,Saturday
Severe Retinopathy,Vegan,Dinner,"Oats Idli, Pumpkin Soup, Roasted Foxnuts, Stuffed Capsicum, Turkey Kebab, Vegan Pancakes",31,14,17,15,389,Swimming,Refined Flour,60+,West,27.4,Practice mindfulness and stress-reducing activities.,Friday
No retinopathy,Vegetarian,Lunch,"Coconut Chutney, Daliya Upma, Keema Pulao, Methi Paratha, Paneer Bhurji, Tofu Stir Fry",50,12,22,8,426,Swimming,Excess Salt,60+,West,24.8,Limit your intake of caffeine and alcohol.,Tuesday
Moderate Retinopathy,Vegan,Lunch,"Green Gram Curry, Masala Egg Toast, Oats Chilla, Poha, Sprouted Chana Salad, Sweet Corn Salad",39,9,17,13,357,Cycling,Sugary Foods,46-60,Central,26,Avoid skipping meals and maintain consistent meal timings.,Sunday
Proliferative Retinopathy,Vegan,Snacks,"Avocado Toast, Chana Sundal, Chicken Sandwich, Lauki Kofta, Pumpkin Dal, Pumpkin Soup",30,8,21,5,516,Brisk Walking,Soft Drinks,18-25,West,24.2,Keep a food diary to monitor your eating habits.,Sunday
Severe Retinopathy,Vegan,Snacks,"Daliya Upma, Masala Idli, Pumpkin Soup, Stuffed Tinda, Sweet Potato Hash, Turkey Kebab",46,7,13,9,393,Stretching,Soft Drinks,36-45,Central,28.5,"Eat small, frequent meals to maintain blood sugar levels.",Friday
Moderate Retinopathy,Vegetarian,Snacks,"Cabbage Stir Fry, Fish Korma, Moong Dal Chilla, Rajma Pulao, Sweet Corn Salad, Tofu Bhurji",49,13,21,12,297,Swimming,Refined Flour,46-60,North,29.4,Practice mindfulness and stress-reducing activities.,Wednesday
Severe Retinopathy,Non Vegetarian,Dinner,"Avocado Toast, Green Gram Curry, Methi Thepla, Ragi Dosa, Spinach Khichdi, Sprouted Chana Salad",34,11,16,15,302,Brisk Walking,Soft Drinks,60+,East,24.5,Practice mindfulness and stress-reducing activities.,Tuesday
No retinopathy,Vegetarian,Dinner,"Aloo Paratha, Avocado Toast, Fish Curry, Poha, Stuffed Tinda, Vegetable Handvo",46,13,19,8,280,Yoga,Soft Drinks,60+,West,21.1,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
No retinopathy,Vegan,Snacks,"Barnyard Millet Pongal, Kadhi with Rice, Masala Idli, Masoor Dal, Oats Idli, Stuffed Capsicum",50,7,16,12,379,Strength Training,Excess Salt,60+,Central,22.5,Keep a food diary to monitor your eating habits.,Wednesday
Mild Retinopathy,Vegan,Dinner,"Cabbage Stir Fry, Egg Paratha, Handvo, Masala Idli, Masala Makhanas, Pumpkin Dal",41,14,14,6,255,Brisk Walking,Sugary Foods,36-45,South,24.3,Keep a food diary to monitor your eating habits.,Sunday
Severe Retinopathy,Vegan,Dinner,"Amaranth Dal, Baingan Bharta, Cabbage Stir Fry, Egg Muffins, Stuffed Capsicum, Sweet Corn Salad",32,14,17,5,319,Strength Training,Sugary Foods,60+,East,21.1,Avoid skipping meals and maintain consistent meal timings.,Friday
Proliferative Retinopathy,Vegan,Lunch,"Coconut Chutney, Jeera Rice, Lauki Curry, Masala Idli, Rajma Curry, Vegetable Upma",37,10,11,11,475,Stretching,Deep Fried Items,46-60,South,20.3,Exercise regularly to maintain healthy weight and sugar levels.,Sunday
Mild Retinopathy,Vegan,Lunch,"Gatte ki Sabzi, Grilled Salmon, Millet Porridge, Oats Chilla, Pumpkin Dal, Spinach Khichdi",38,7,10,5,312,Stretching,Soft Drinks,36-45,Central,25.9,Keep a food diary to monitor your eating habits.,Sunday
Proliferative Retinopathy,Non Vegetarian,Snacks,"Almond Milk Smoothie, Avocado Toast, Bajra Roti, Coconut Chutney, Kadhi with Rice, Mutton Seekh",47,6,8,5,257,Stretching,Processed Foods,26-35,Central,26.2,"Include high-fiber foods like oats, vegetables, and legumes.",Friday
Severe Retinopathy,Vegan,Breakfast,"Chickpea Curry, Fish Curry, Keema Pulao, Oats Chilla, Oats Idli, Vegetable Handvo",51,8,18,10,470,Strength Training,Deep Fried Items,60+,South,26.6,Get enough sleep to support overall health.,Tuesday
Moderate Retinopathy,Vegetarian,Snacks,"Barnyard Millet Pongal, Daliya Upma, Masala Makhanas, Multigrain Sandwich, Tofu Bhurji, Tofu Stir Fry",37,14,15,8,364,Cycling,Excess Salt,46-60,South,29,Limit your intake of caffeine and alcohol.,Wednesday
No retinopathy,Non Vegetarian,Lunch,"Barley Risotto, Dhokla, Egg Muffins, Fish Curry, Methi Thepla, Ragi Dosa",43,8,9,5,505,Stretching,Sugary Foods,46-60,South,26.2,"Include high-fiber foods like oats, vegetables, and legumes.",Tuesday
Mild Retinopathy,Vegetarian,Dinner,"Barley Risotto, Dhokla, Green Gram Curry, Masala Makhanas, Masoor Dal, Oats Chilla",43,12,18,6,416,Swimming,Sugary Foods,46-60,North,25,Avoid skipping meals and maintain consistent meal timings.,Sunday
Severe Retinopathy,Non Vegetarian,Dinner,"Amaranth Dal, Egg Bhurji, Grilled Salmon, Handvo, Lauki Curry, Mutton Biryani",37,10,22,7,382,Cycling,Soft Drinks,36-45,West,27.4,Limit your intake of caffeine and alcohol.,Monday
Proliferative Retinopathy,Non Vegetarian,Lunch,"Egg Paratha, Lauki Curry, Oats Chilla, Paneer Bhurji, Rava Idli, Sweet Corn Salad",43,10,20,7,386,Yoga,Deep Fried Items,46-60,West,24.9,Limit your intake of caffeine and alcohol.,Wednesday
Moderate Retinopathy,Non Vegetarian,Dinner,"Bisi Bele Bath, Chana Sundal, Daliya Upma, Millet Porridge, Pumpkin Soup, Rajma Curry",43,9,14,7,404,Brisk Walking,Soft Drinks,26-35,South,28.5,Limit your intake of caffeine and alcohol.,Saturday
Proliferative Retinopathy,Non Vegetarian,Breakfast,"Amaranth Dal, Coconut Chutney, Jeera Rice, Spinach Rice, Tofu Stir Fry, Vegan Dum Biryani",38,12,11,7,320,Swimming,Deep Fried Items,18-25,South,21.5,Limit your intake of caffeine and alcohol.,Wednesday
Moderate Retinopathy,Vegetarian,Dinner,"Dhokla, Gatte ki Sabzi, Paneer Bhurji, Rajma Pulao, Rava Idli, Vegetable Daliya",35,10,17,11,397,Strength Training,Sugary Foods,46-60,Central,25.2,Keep a food diary to monitor your eating habits.,Friday
Mild Retinopathy,Vegetarian,Dinner,"Egg Muffins, Grilled Salmon, Keema Pulao, Lauki Kofta, Rajma Pulao, Sweet Potato Hash",38,13,19,5,401,Brisk Walking,Sugary Foods,26-35,West,20.4,"Include high-fiber foods like oats, vegetables, and legumes.",Wednesday
No retinopathy,Vegetarian,Snacks,"Roasted Foxnuts, Spinach Khichdi, Spinach Rice, Sprouted Chana Salad, Stuffed Tinda, Vegan Dum Biryani",46,14,9,6,281,Brisk Walking,Refined Flour,36-45,South,23.7,Get enough sleep to support overall health.,Wednesday
Proliferative Retinopathy,Non Vegetarian,Dinner,"Boiled Egg Salad, Oats Chilla, Palak Paneer, Quinoa Salad, Ragi Dosa, Roasted Foxnuts",40,7,14,10,316,Stretching,Sugary Foods,46-60,South,21.2,Keep a food diary to monitor your eating habits.,Tuesday
